loss,accuracy,precision,recall,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,regularization
3.4800243377685547,0.5820329189300537,0.5820329189300537,0.5820329189300537,[0.5135002 0.6336415],2.7688658237457275,0.7065767049789429,0.7065767049789429,0.7065767049789429,[0.65060246 0.74709296],l1
2.2132349014282227,0.7448334097862244,0.7448334097862244,0.7448334097862244,[0.70034665 0.77781856],1.7282167673110962,0.7605396509170532,0.7605396509170532,0.7605396509170532,[0.7310606  0.78419447],l1
1.3380523920059204,0.8064107894897461,0.8064107894897461,0.8064107894897461,[0.79717183 0.8148447 ],1.1365506649017334,0.7757167220115662,0.7757167220115662,0.7757167220115662,[0.7603604  0.78922343],l1
0.9390701055526733,0.8329818844795227,0.8329818844795227,0.8329818844795227,[0.8282741  0.83743846],0.9398204684257507,0.7908937335014343,0.7908937335014343,0.7908937335014343,[0.77372265 0.8056426 ],l1
0.7824827432632446,0.8616617321968079,0.8616617321968079,0.8616617321968079,[0.85825413 0.86490947],0.894192636013031,0.7723439931869507,0.7723439931869507,0.7723439931869507,[0.7418738  0.79638004],l1
0.7094941139221191,0.8751581907272339,0.8751581907272339,0.8751581907272339,[0.87296146 0.8772803 ],0.8072173595428467,0.7959527969360352,0.7959527969360352,0.7959527969360352,[0.7779817  0.81123245],l1
0.6566689014434814,0.8743146061897278,0.8743146061897278,0.8743146061897278,[0.8728669  0.87572986],0.7345059514045715,0.8145025372505188,0.8145025372505188,0.8145025372505188,[0.8035714  0.82428116],l1
0.619186520576477,0.8760017156600952,0.8760017156600952,0.8760017156600952,[0.8744663 0.8775   ],0.7610539793968201,0.7959527969360352,0.7959527969360352,0.7959527969360352,[0.7729832 0.8147014],l1
0.5918471813201904,0.8844369649887085,0.8844369649887085,0.8844369649887085,[0.88290596 0.88592845],0.7512192726135254,0.7925801277160645,0.7925801277160645,0.7925801277160645,[0.7683616 0.8122137],l1
0.5683544278144836,0.8869675397872925,0.8869675397872925,0.8869675397872925,[0.88605446 0.8878661 ],0.7271096110343933,0.7942664623260498,0.7942664623260498,0.7942664623260498,[0.76981133 0.8140244 ],l1
0.8568341732025146,0.6318009495735168,0.6318009495735168,0.6318009495735168,[0.5334046  0.69592476],0.7949691414833069,0.728499174118042,0.728499174118042,0.728499174118042,[0.688588   0.75934225],l2
0.6827981472015381,0.7971320152282715,0.7971320152282715,0.7971320152282715,[0.7719298  0.81731874],0.6874256134033203,0.7318718433380127,0.7318718433380127,0.7318718433380127,[0.6761711 0.771223 ],l2
0.5275879502296448,0.8279207348823547,0.8279207348823547,0.8279207348823547,[0.8218341 0.8336053],0.6227455735206604,0.76897132396698,0.76897132396698,0.76897132396698,[0.73500973 0.7952167 ],l2
0.44898438453674316,0.8658793568611145,0.8658793568611145,0.8658793568611145,[0.8622183  0.86935085],0.5639533400535583,0.7942664623260498,0.7942664623260498,0.7942664623260498,[0.77898544 0.80757093],l2
0.4134705364704132,0.8751581907272339,0.8751581907272339,0.8751581907272339,[0.8726334  0.87758476],0.5409032106399536,0.8043844699859619,0.8043844699859619,0.8043844699859619,[0.79136693 0.815873  ],l2
0.38886821269989014,0.8793758153915405,0.8793758153915405,0.8793758153915405,[0.87735856 0.88132787],0.531571626663208,0.8043844699859619,0.8043844699859619,0.8043844699859619,[0.79136693 0.815873  ],l2
0.3694736361503601,0.8873893022537231,0.8873893022537231,0.8873893022537231,[0.8860435 0.8887036],0.5274661779403687,0.8161888718605042,0.8161888718605042,0.8161888718605042,[0.8043089 0.8267091],l2
0.3539990782737732,0.8924504518508911,0.8924504518508911,0.8924504518508911,[0.8914432  0.89343923],0.5295008420944214,0.8161888718605042,0.8161888718605042,0.8161888718605042,[0.8028933  0.82780415],l2
0.34279149770736694,0.8979333639144897,0.8979333639144897,0.8979333639144897,[0.8971963 0.89866  ],0.5291703939437866,0.8145025372505188,0.8145025372505188,0.8145025372505188,[0.79853487 0.82812506],l2
0.34067675471305847,0.8975116014480591,0.8975116014480591,0.8975116014480591,[0.8962868 0.8987078],0.5153691172599792,0.8246205449104309,0.8246205449104309,0.8246205449104309,[0.8129496  0.83492064],l2
3.5685348510742188,0.6322227120399475,0.6322227120399475,0.6322227120399475,[0.6103664 0.6517572],2.8270504474639893,0.6003372669219971,0.6003372669219971,0.6003372669219971,[0.38120106 0.7048569 ],l1_l2
2.2648963928222656,0.7385069727897644,0.7385069727897644,0.7385069727897644,[0.7186933  0.75571316],1.7922717332839966,0.7571669220924377,0.7571669220924377,0.7571669220924377,[0.7381818  0.77358496],l1_l2
1.3975694179534912,0.8114719390869141,0.8114719390869141,0.8114719390869141,[0.79855794 0.8228299 ],1.1687449216842651,0.7824620604515076,0.7824620604515076,0.7824620604515076,[0.7708703 0.7929374],l1_l2
0.9340973496437073,0.8355124592781067,0.8355124592781067,0.8355124592781067,[0.828496   0.84197736],0.9225757122039795,0.7807757258415222,0.7807757258415222,0.7807757258415222,[0.7627737  0.79623824],l1_l2
0.7718198895454407,0.8431041836738586,0.8431041836738586,0.8431041836738586,[0.8382608  0.84766585],0.8545190691947937,0.76897132396698,0.76897132396698,0.76897132396698,[0.7419962  0.79083973],l1_l2
0.6976693272590637,0.8515394330024719,0.8515394330024719,0.8515394330024719,[0.8468233  0.85597384],0.7717052102088928,0.7976391315460205,0.7976391315460205,0.7976391315460205,[0.787234 0.807074],l1_l2
0.6479372978210449,0.8515394330024719,0.8515394330024719,0.8515394330024719,[0.84788245 0.8550247 ],0.7472698092460632,0.8026981353759766,0.8026981353759766,0.8026981353759766,[0.7929204  0.81159425],l1_l2
0.6257559061050415,0.8616617321968079,0.8616617321968079,0.8616617321968079,[0.8584987 0.8646865],0.744372546672821,0.7824620604515076,0.7824620604515076,0.7824620604515076,[0.7579738  0.80245024],l1_l2
0.5897343158721924,0.8654575943946838,0.8654575943946838,0.8654575943946838,[0.8629136 0.8679089],0.717646598815918,0.789207398891449,0.789207398891449,0.789207398891449,[0.7689464 0.8062016],l1_l2
0.5926689505577087,0.8612399697303772,0.8612399697303772,0.8612399697303772,[0.8577604  0.86455333],0.6880267262458801,0.8128162026405334,0.8128162026405334,0.8128162026405334,[0.8076256  0.81773394],l1_l2
0.6968092322349548,0.49514973163604736,0.49514973163604736,0.49514973163604736,[0.61793804 0.25605965],0.6930378079414368,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6930589079856873,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6929816603660583,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6930233240127563,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6929319500923157,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929938793182373,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6928900480270386,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929701566696167,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6928550004959106,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929513812065125,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6928260922431946,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929367184638977,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6928023099899292,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929250359535217,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6927827000617981,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929161548614502,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.692766547203064,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
0.6929091215133667,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6768973 0.       ],0.6927529573440552,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],None
