loss,val_loss,model,epoch
69.2933578491211,1.8036857843399048,Temp_0.05,1
65.45491027832031,1.7935913801193237,Temp_0.1,1
72.33064270019531,1.7948968410491943,Temp_0.5,1
66.75516510009766,1.8036359548568726,Temp_1.5,1
57.3983039855957,1.800218939781189,Temp_1,1
65.92127227783203,1.8020378351211548,Temp_sum_normal,1
1.7998831272125244,1.790558099746704,Temp_0.05,2
1.7954789400100708,1.791006088256836,Temp_0.1,2
1.7949116230010986,1.791887879371643,Temp_0.5,2
1.794336199760437,1.7917824983596802,Temp_1.5,2
1.7937594652175903,1.7917786836624146,Temp_1,2
1.795311689376831,1.7913187742233276,Temp_sum_normal,2
1.791275143623352,1.7907696962356567,Temp_0.05,3
1.7904644012451172,1.7910722494125366,Temp_0.1,3
1.7916098833084106,1.7916990518569946,Temp_0.5,3
1.7917709350585938,1.791767954826355,Temp_1.5,3
1.7917838096618652,1.7917765378952026,Temp_1,3
1.7912147045135498,1.7912789583206177,Temp_sum_normal,3
1.788746953010559,1.789993405342102,Temp_0.05,4
1.7899994850158691,1.791627287864685,Temp_0.1,4
1.791513204574585,1.791872501373291,Temp_0.5,4
1.7917230129241943,1.7917815446853638,Temp_1.5,4
1.791723608970642,1.7917989492416382,Temp_1,4
1.7924467325210571,1.7912474870681763,Temp_sum_normal,4
1.7885533571243286,1.7900176048278809,Temp_0.05,5
1.7903690338134766,1.7910810708999634,Temp_0.1,5
1.7915486097335815,1.7918933629989624,Temp_0.5,5
1.7918301820755005,1.7917985916137695,Temp_1.5,5
1.7917240858078003,1.7918018102645874,Temp_1,5
1.7912219762802124,1.7913492918014526,Temp_sum_normal,5
1.7889251708984375,1.7903584241867065,Temp_0.05,6
1.788498044013977,1.7907626628875732,Temp_0.1,6
1.7915886640548706,1.7918918132781982,Temp_0.5,6
1.791780948638916,1.7917802333831787,Temp_1.5,6
1.7916996479034424,1.7917852401733398,Temp_1,6
1.7911244630813599,1.7913140058517456,Temp_sum_normal,6
1.7891771793365479,1.791182279586792,Temp_0.05,7
1.7905837297439575,1.7913819551467896,Temp_0.1,7
1.791501760482788,1.7917823791503906,Temp_0.5,7
1.7917343378067017,1.7917879819869995,Temp_1.5,7
1.7917044162750244,1.791808843612671,Temp_1,7
1.791253924369812,1.7912707328796387,Temp_sum_normal,7
1.7879232168197632,1.7912743091583252,Temp_0.05,8
1.7898402214050293,1.7913357019424438,Temp_0.1,8
1.7914758920669556,1.7918424606323242,Temp_0.5,8
1.7917425632476807,1.7918115854263306,Temp_1.5,8
1.7917143106460571,1.7918055057525635,Temp_1,8
1.791129469871521,1.7912410497665405,Temp_sum_normal,8
1.7864619493484497,1.789880394935608,Temp_0.05,9
1.7895243167877197,1.7910362482070923,Temp_0.1,9
1.791509985923767,1.79179048538208,Temp_0.5,9
1.7917321920394897,1.7917784452438354,Temp_1.5,9
1.7917242050170898,1.7917943000793457,Temp_1,9
1.791012167930603,1.7912732362747192,Temp_sum_normal,9
1.7863712310791016,1.7936797142028809,Temp_0.05,10
1.790356159210205,1.7910118103027344,Temp_0.1,10
1.79149329662323,1.7918826341629028,Temp_0.5,10
1.7917389869689941,1.7917850017547607,Temp_1.5,10
1.791702151298523,1.7918181419372559,Temp_1,10
1.7910983562469482,1.7913151979446411,Temp_sum_normal,10
